# Constructed from biom file
#OTU ID	SRR952153	SRR952154	SRR952155	SRR952156	SRR952157	SRR952158	SRR952159	SRR952160	SRR952161	SRR952162	SRR952163	SRR952164	SRR952165	SRR952166	SRR952167	SRR952168	SRR952169	SRR952170	SRR952171	SRR952172	SRR952173	SRR952174	SRR952175	SRR952176	SRR952177	SRR952178	SRR952179	SRR952180	SRR952181	SRR952182	SRR952183	SRR952184	SRR952185	SRR952186	SRR952187	SRR952188	SRR952189	SRR952190	SRR952191	SRR952192	SRR952193	SRR952194	SRR952195	SRR952196	SRR952197	SRR952198	SRR952199	SRR952200
49f04d14a4d81ee19ba4e5a315c46524	206.0	55.0	6.0	537.0	2906.0	201.0	2307.0	228.0	325.0	294.0	80.0	58.0	417.0	39.0	7.0	615.0	698.0	284.0	627.0	97.0	66.0	103.0	0.0	0.0	48.0	156.0	4.0	17.0	158.0	2.0	116.0	399.0	2.0	10.0	3486.0	8.0	31.0	25.0	4.0	18.0	230.0	6.0	16.0	399.0	8.0	25.0	1034.0	6.0
840a763739f0fad66d7f93a222512069	399.0	0.0	75.0	263.0	0.0	1256.0	627.0	1.0	695.0	431.0	0.0	122.0	948.0	0.0	55.0	2245.0	0.0	1875.0	978.0	474.0	4.0	297.0	5.0	0.0	373.0	0.0	1.0	33.0	0.0	2.0	432.0	0.0	3.0	43.0	0.0	5.0	290.0	0.0	6.0	37.0	0.0	5.0	52.0	0.0	5.0	47.0	0.0	8.0
4933e3baa1ff1fb84194cc8c638c0dc5	488.0	188.0	337.0	115.0	277.0	403.0	232.0	44.0	166.0	87.0	21.0	26.0	437.0	411.0	90.0	186.0	256.0	549.0	154.0	31.0	18.0	19.0	1343.0	961.0	522.0	382.0	56.0	193.0	35.0	59.0	139.0	41.0	1396.0	95.0	71.0	37.0	513.0	200.0	66.0	162.0	25.0	57.0	138.0	26.0	123.0	61.0	41.0	133.0
6836e5602bb4b339aac8733d5e3f5c6d	341.0	0.0	0.0	2495.0	0.0	0.0	1573.0	0.0	0.0	1871.0	0.0	0.0	929.0	0.0	0.0	2158.0	1.0	0.0	0.0	768.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	7.0	0.0	0.0	607.0	0.0	0.0	12.0	0.0	0.0	25.0	0.0	0.0	5.0	0.0	6.0	5.0	0.0	0.0	5.0	0.0	0.0
a4ad693cd3dadd5f680a73e2fec1e867	0.0	285.0	4.0	0.0	1907.0	125.0	0.0	372.0	193.0	0.0	123.0	47.0	0.0	1105.0	1.0	0.0	3316.0	200.0	354.0	0.0	734.0	68.0	0.0	0.0	0.0	172.0	0.0	0.0	89.0	0.0	0.0	66.0	0.0	1.0	428.0	0.0	0.0	47.0	0.0	0.0	44.0	2.0	0.0	43.0	0.0	0.0	976.0	1.0
2a6669156ce69b7c7dd409ead3bda881	578.0	1.0	11.0	368.0	0.0	351.0	522.0	1.0	509.0	298.0	0.0	113.0	1198.0	0.0	43.0	1308.0	0.0	821.0	516.0	272.0	0.0	171.0	12.0	0.0	1042.0	0.0	6.0	144.0	1.0	1.0	404.0	0.0	4.0	79.0	0.0	1.0	1209.0	0.0	4.0	149.0	0.0	4.0	154.0	0.0	7.0	17.0	0.0	4.0
fce87682fbfb7bbcbb78964b1d5257b0	396.0	329.0	0.0	147.0	567.0	0.0	274.0	214.0	0.0	163.0	100.0	0.0	308.0	665.0	0.0	162.0	507.0	0.0	0.0	25.0	29.0	0.0	1055.0	2090.0	401.0	645.0	0.0	249.0	66.0	0.0	133.0	25.0	0.0	140.0	140.0	0.0	235.0	321.0	0.0	144.0	44.0	1.0	136.0	40.0	0.0	64.0	142.0	0.0
2f66d50288b19ad5d5ee20a004f5d374	333.0	133.0	260.0	75.0	176.0	283.0	150.0	27.0	121.0	60.0	19.0	14.0	334.0	361.0	74.0	139.0	195.0	414.0	110.0	16.0	8.0	18.0	968.0	840.0	343.0	301.0	51.0	163.0	29.0	43.0	97.0	16.0	1325.0	73.0	46.0	19.0	370.0	151.0	67.0	113.0	16.0	31.0	95.0	22.0	111.0	32.0	36.0	93.0
dd7d8eb9422198f2c4ef6a7db6142a83	586.0	0.0	280.0	320.0	0.0	281.0	206.0	0.0	101.0	245.0	0.0	0.0	657.0	0.0	0.0	122.0	0.0	283.0	0.0	352.0	0.0	0.0	8.0	0.0	336.0	0.0	377.0	331.0	0.0	507.0	364.0	0.0	13.0	0.0	0.0	752.0	307.0	0.0	633.0	557.0	0.0	537.0	312.0	0.0	0.0	0.0	0.0	229.0
82fcb88e0b654ae6cf118ca6453c0338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	413.0	0.0	1.0	6181.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	621.0	0.0	2.0	1231.0	0.0
